Tanggal,Kurs_IDR
2023-06-30,3224.66015625
2023-07-01,3224.66015625
2023-07-02,3224.66015625
2023-07-03,3210.71240234375
2023-07-04,3226.05517578125
2023-07-05,3226.5693359375
2023-07-06,3240.275146484375
2023-07-07,3257.185791015625
2023-07-08,3257.185791015625
2023-07-09,3257.185791015625
2023-07-10,3239.400390625
2023-07-11,3257.895263671875
2023-07-12,3253.9287109375
2023-07-13,3210.169921875
2023-07-14,3258.306884765625
2023-07-15,3258.306884765625
2023-07-16,3258.306884765625
2023-07-17,3303.3583984375
2023-07-18,3282.396728515625
2023-07-19,3299.064453125
2023-07-20,3300.38525390625
2023-07-21,3313.119140625
2023-07-22,3313.119140625
2023-07-23,3313.119140625
2023-07-24,3292.698974609375
2023-07-25,3284.46484375
2023-07-26,3286.7607421875
2023-07-27,5883.9443359375
2023-07-28,3338.124755859375
2023-07-29,3338.124755859375
2023-07-30,3338.124755859375
2023-07-31,3313.4951171875
2023-08-01,3333.848388671875
2023-08-02,3346.085693359375
2023-08-03,3342.11669921875
2023-08-04,3336.48779296875
2023-08-05,3336.48779296875
2023-08-06,3336.48779296875
2023-08-07,3328.869384765625
2023-08-08,3341.08349609375
2023-08-09,3318.537841796875
2023-08-10,3326.84326171875
2023-08-11,3337.489013671875
2023-08-12,3337.489013671875
2023-08-13,3337.489013671875
2023-08-14,3339.219482421875
2023-08-15,3322.220947265625
2023-08-16,3303.095703125
2023-08-17,3316.016845703125
2023-08-18,3302.310546875
2023-08-19,3302.310546875
2023-08-20,3302.310546875
2023-08-21,3283.825927734375
2023-08-22,3295.256591796875
2023-08-23,3294.68701171875
2023-08-24,3290.447509765625
2023-08-25,3280.73193359375
2023-08-26,3280.73193359375
2023-08-27,3280.73193359375
2023-08-28,3294.82763671875
2023-08-29,3277.580810546875
2023-08-30,3271.230224609375
2023-08-31,3279.310302734375
2023-09-01,3282.543212890625
2023-09-02,3282.543212890625
2023-09-03,3282.543212890625
2023-09-04,3277.67626953125
2023-09-05,3271.1064453125
2023-09-06,3293.433837890625
2023-09-07,3281.129638671875
2023-09-08,3279.256103515625
2023-09-09,3279.256103515625
2023-09-10,3279.256103515625
2023-09-11,3275.526611328125
2023-09-12,3281.44189453125
2023-09-13,3282.06103515625
2023-09-14,3282.659912109375
2023-09-15,3288.124755859375
2023-09-16,3288.124755859375
2023-09-17,3288.124755859375
2023-09-18,3276.259521484375
2023-09-19,3279.377197265625
2023-09-20,3275.7373046875
2023-09-21,3275.92822265625
2023-09-22,3282.638916015625
2023-09-23,3282.638916015625
2023-09-24,3282.638916015625
2023-09-25,3275.71142578125
2023-09-26,3287.802734375
2023-09-27,3303.41162109375
2023-09-28,3305.4375
2023-09-29,3286.39697265625
2023-09-30,3286.39697265625
2023-10-01,3286.39697265625
2023-10-02,3290.133544921875
2023-10-03,3289.37890625
2023-10-04,3307.293212890625
2023-10-05,3295.1494140625
2023-10-06,3306.398681640625
2023-10-07,3306.398681640625
2023-10-08,3306.398681640625
2023-10-09,3300.475830078125
2023-10-10,3316.0185546875
2023-10-11,3325.61083984375
2023-10-12,3325.844970703125
2023-10-13,3339.8408203125
2023-10-14,3339.8408203125
2023-10-15,3339.8408203125
2023-10-16,3315.21630859375
2023-10-17,3309.755126953125
2023-10-18,3320.98828125
2023-10-19,3331.647216796875
2023-10-20,3327.59716796875
2023-10-21,3327.59716796875
2023-10-22,3327.59716796875
2023-10-23,3328.369140625
2023-10-24,3329.627685546875
2023-10-25,3315.849853515625
2023-10-26,3322.907958984375
2023-10-27,3326.16015625
2023-10-28,3326.16015625
2023-10-29,3326.16015625
2023-10-30,3328.240966796875
2023-10-31,3326.6142578125
2023-11-01,3307.506591796875
2023-11-02,3332.285400390625
2023-11-03,3333.26318359375
2023-11-04,3333.26318359375
2023-11-05,3333.26318359375
2023-11-06,3294.64013671875
2023-11-07,3358.136474609375
2023-11-08,3374.010498046875
2023-11-09,3334.044921875
2023-11-10,3348.68408203125
2023-11-11,3348.68408203125
2023-11-12,3348.68408203125
2023-11-13,3342.1416015625
2023-11-14,3327.739990234375
2023-11-15,3273.728759765625
2023-11-16,3314.6708984375
2023-11-17,3311.931396484375
2023-11-18,3311.931396484375
2023-11-19,3311.931396484375
2023-11-20,3300.160400390625
2023-11-21,3262.98876953125
2023-11-22,3331.463623046875
2023-11-23,3337.49462890625
2023-11-24,3311.60498046875
2023-11-25,3311.60498046875
2023-11-26,3311.60498046875
2023-11-27,3320.530029296875
2023-11-28,3301.633056640625
2023-11-29,3265.354248046875
2023-11-30,3297.025390625
2023-12-01,3337.11767578125
2023-12-02,3337.11767578125
2023-12-03,3337.11767578125
2023-12-04,3312.647216796875
2023-12-05,3306.01318359375
2023-12-06,3313.7529296875
2023-12-07,3315.485107421875
2023-12-08,3316.21728515625
2023-12-09,3316.21728515625
2023-12-10,3316.21728515625
2023-12-11,3336.9775390625
2023-12-12,3341.591064453125
2023-12-13,3323.513671875
2023-12-14,3250.85107421875
2023-12-15,3310.433349609375
2023-12-16,3310.433349609375
2023-12-17,3310.433349609375
2023-12-18,3270.77587890625
2023-12-19,3280.783935546875
2023-12-20,3299.17822265625
2023-12-21,3331.47265625
2023-12-22,3316.50732421875
2023-12-23,3316.50732421875
2023-12-24,3316.50732421875
2023-12-25,3322.092041015625
2023-12-26,3337.651123046875
2023-12-27,3320.038818359375
2023-12-28,3321.019775390625
2023-12-29,3347.802490234375
2023-12-30,3347.802490234375
2023-12-31,3347.802490234375
2024-01-01,3347.769287109375
2024-01-02,3347.769287109375
2024-01-03,3366.56884765625
2024-01-04,3374.93212890625
2024-01-05,3345.71142578125
2024-01-06,3345.71142578125
2024-01-07,3345.71142578125
2024-01-08,3329.251220703125
2024-01-09,3331.291015625
2024-01-10,3345.42919921875
2024-01-11,3349.84375
2024-01-12,3348.3642578125
2024-01-13,3348.3642578125
2024-01-14,3348.3642578125
2024-01-15,3336.173828125
2024-01-16,3329.264404296875
2024-01-17,3362.38427734375
2024-01-18,3311.923583984375
2024-01-19,3309.803955078125
2024-01-20,3309.803955078125
2024-01-21,3309.803955078125
2024-01-22,3311.625
2024-01-23,3312.28173828125
2024-01-24,3324.870361328125
2024-01-25,3323.007080078125
2024-01-26,3341.012451171875
2024-01-27,3341.012451171875
2024-01-28,3341.012451171875
2024-01-29,3335.16650390625
2024-01-30,3343.11962890625
2024-01-31,3338.62109375
2024-02-01,3334.17919921875
2024-02-02,3326.07177734375
2024-02-03,3326.07177734375
2024-02-04,3326.07177734375
2024-02-05,3333.82080078125
2024-02-06,3307.475341796875
2024-02-07,3301.4375
2024-02-08,3286.1494140625
2024-02-09,3283.081787109375
2024-02-10,3283.081787109375
2024-02-11,3283.081787109375
2024-02-12,3274.71142578125
2024-02-13,3269.2548828125
2024-02-14,3286.0888671875
2024-02-15,3252.74267578125
2024-02-16,3278.318115234375
2024-02-17,3278.318115234375
2024-02-18,3278.318115234375
2024-02-19,3273.849365234375
2024-02-20,3265.928466796875
2024-02-21,3263.524169921875
2024-02-22,3262.14794921875
2024-02-23,3262.79443359375
2024-02-24,3262.79443359375
2024-02-25,3262.79443359375
2024-02-26,3262.5849609375
2024-02-27,3272.974609375
2024-02-28,3287.064208984375
2024-02-29,3294.653076171875
2024-03-01,3309.240234375
2024-03-02,3309.240234375
2024-03-03,3309.240234375
2024-03-04,3307.133056640625
2024-03-05,3337.779296875
2024-03-06,3326.6103515625
2024-03-07,3311.073486328125
2024-03-08,3301.14111328125
2024-03-09,3301.14111328125
2024-03-10,3301.14111328125
2024-03-11,3312.85986328125
2024-03-12,3313.333984375
2024-03-13,3323.499267578125
2024-03-14,3322.098876953125
2024-03-15,3334.04443359375
2024-03-16,3334.04443359375
2024-03-17,3334.04443359375
2024-03-18,3324.4765625
2024-03-19,3336.441650390625
2024-03-20,3320.93798828125
2024-03-21,3308.795654296875
2024-03-22,3334.924072265625
2024-03-23,3334.924072265625
2024-03-24,3334.924072265625
2024-03-25,3336.56982421875
2024-03-26,3340.882568359375
2024-03-27,3352.324462890625
2024-03-28,3354.531982421875
2024-03-29,3354.531982421875
2024-03-30,3354.531982421875
2024-03-31,3354.531982421875
2024-04-01,3354.428955078125
2024-04-02,3371.5615234375
2024-04-03,3355.768310546875
2024-04-04,3351.419677734375
2024-04-05,3355.733642578125
2024-04-06,3355.733642578125
2024-04-07,3355.733642578125
2024-04-08,3345.12890625
2024-04-09,3349.39501953125
2024-04-10,3347.15673828125
2024-04-11,3369.4609375
2024-04-12,3371.314208984375
2024-04-13,3371.314208984375
2024-04-14,3371.314208984375
2024-04-15,3377.568115234375
2024-04-16,3363.67431640625
2024-04-17,3414.7373046875
2024-04-18,3389.5263671875
2024-04-19,3389.759765625
2024-04-20,3389.759765625
2024-04-21,3389.759765625
2024-04-22,3388.440673828125
2024-04-23,3400.16748046875
2024-04-24,3376.61083984375
2024-04-25,3394.37060546875
2024-04-26,3391.3134765625
2024-04-27,3391.3134765625
2024-04-28,3391.3134765625
2024-04-29,3398.63671875
2024-04-30,3409.086181640625
2024-05-01,3413.3193359375
2024-05-02,3392.435791015625
2024-05-03,3385.634765625
2024-05-04,3385.634765625
2024-05-05,3385.634765625
2024-05-06,3391.772216796875
2024-05-07,3383.057373046875
2024-05-08,3392.359619140625
2024-05-09,3389.3515625
2024-05-10,3387.216064453125
2024-05-11,3387.216064453125
2024-05-12,3387.216064453125
2024-05-13,3384.25830078125
2024-05-14,3406.8046875
2024-05-15,3411.802001953125
2024-05-16,3380.922119140625
2024-05-17,3400.021240234375
2024-05-18,3400.021240234375
2024-05-19,3400.021240234375
2024-05-20,3404.373291015625
2024-05-21,3422.502197265625
2024-05-22,3410.761962890625
2024-05-23,3418.007568359375
2024-05-24,3421.1923828125
2024-05-25,3421.1923828125
2024-05-26,3421.1923828125
2024-05-27,3404.011474609375
2024-05-28,3421.545654296875
2024-05-29,3433.678466796875
2024-05-30,3449.6015625
2024-05-31,3449.829833984375
2024-06-01,3449.829833984375
2024-06-02,3449.829833984375
2024-06-03,3450.451416015625
2024-06-04,3442.320068359375
2024-06-05,3461.505859375
2024-06-06,3472.75439453125
2024-06-07,3459.580322265625
2024-06-08,3459.580322265625
2024-06-09,3459.580322265625
2024-06-10,3468.34375
2024-06-11,3455.2001953125
2024-06-12,3454.89990234375
2024-06-13,3440.381591796875
2024-06-14,3459.585693359375
2024-06-15,3459.585693359375
2024-06-16,3459.585693359375
2024-06-17,3491.683349609375
2024-06-18,3491.3134765625
2024-06-19,3474.175537109375
2024-06-20,3482.41796875
2024-06-21,3501.09326171875
2024-06-22,3501.09326171875
2024-06-23,3501.09326171875
2024-06-24,3488.860595703125
2024-06-25,3479.5712890625
2024-06-26,3486.236572265625
2024-06-27,3487.321044921875
2024-06-28,3469.52001953125
2024-06-29,3469.52001953125
2024-06-30,3469.52001953125
2024-07-01,3464.3349609375
2024-07-02,3477.614990234375
2024-07-03,3473.4052734375
2024-07-04,3461.497802734375
2024-07-05,3467.140869140625
2024-07-06,3467.140869140625
2024-07-07,3467.140869140625
2024-07-08,3448.678466796875
2024-07-09,3455.51416015625
2024-07-10,3457.673828125
2024-07-11,3446.016357421875
2024-07-12,3432.22509765625
2024-07-13,3432.22509765625
2024-07-14,3432.22509765625
2024-07-15,3449.619873046875
2024-07-16,3466.7666015625
2024-07-17,3458.725341796875
2024-07-18,3460.490966796875
2024-07-19,3467.594970703125
2024-07-20,3467.594970703125
2024-07-21,3467.594970703125
2024-07-22,3457.280029296875
2024-07-23,3460.45703125
2024-07-24,3466.609619140625
2024-07-25,3476.939453125
2024-07-26,3503.7099609375
2024-07-27,3503.7099609375
2024-07-28,3503.7099609375
2024-07-29,3496.08154296875
2024-07-30,3514.0546875
2024-07-31,3532.39599609375
2024-08-01,3537.92578125
2024-08-02,3563.36181640625
2024-08-03,3563.36181640625
2024-08-04,3563.36181640625
2024-08-05,3560.2001953125
2024-08-06,3662.824951171875
2024-08-07,3610.25927734375
2024-08-08,3563.438232421875
2024-08-09,3571.125244140625
2024-08-10,3571.125244140625
2024-08-11,3571.125244140625
2024-08-12,3603.803466796875
2024-08-13,3579.241455078125
2024-08-14,3534.335693359375
2024-08-15,3534.223388671875
2024-08-16,3551.3828125
2024-08-17,3551.3828125
2024-08-18,3551.3828125
2024-08-19,3538.982177734375
2024-08-20,3544.06396484375
2024-08-21,3527.584228515625
2024-08-22,3542.03369140625
2024-08-23,3583.6181640625
2024-08-24,3583.6181640625
2024-08-25,3583.6181640625
2024-08-26,3515.112060546875
2024-08-27,3553.395263671875
2024-08-28,3561.796142578125
2024-08-29,3553.509765625
2024-08-30,3582.233642578125
2024-08-31,3582.233642578125
2024-09-01,3582.233642578125
2024-09-02,3593.333984375
2024-09-03,3563.742919921875
2024-09-04,3560.550048828125
2024-09-05,3556.56884765625
2024-09-06,3558.45361328125
2024-09-07,3558.45361328125
2024-09-08,3558.45361328125
2024-09-09,3557.325927734375
2024-09-10,3540.265625
2024-09-11,3569.716552734375
2024-09-12,3558.962646484375
2024-09-13,3560.900634765625
2024-09-14,3560.900634765625
2024-09-15,3560.900634765625
2024-09-16,3578.51904296875
2024-09-17,3577.0751953125
2024-09-18,3598.733642578125
2024-09-19,3605.13671875
2024-09-20,3606.45458984375
2024-09-21,3606.45458984375
2024-09-22,3606.45458984375
2024-09-23,3603.804931640625
2024-09-24,3610.30224609375
2024-09-25,3641.44482421875
2024-09-26,3679.859619140625
2024-09-27,3637.89990234375
2024-09-28,3637.89990234375
2024-09-29,3637.89990234375
2024-09-30,3664.9697265625
2024-10-01,3678.613037109375
2024-10-02,3664.449462890625
2024-10-03,3671.73828125
2024-10-04,3662.796142578125
2024-10-05,3662.796142578125
2024-10-06,3662.796142578125
2024-10-07,3707.213134765625
2024-10-08,3680.654541015625
2024-10-09,3659.836669921875
2024-10-10,3649.295166015625
2024-10-11,3652.890380859375
2024-10-12,3652.890380859375
2024-10-13,3652.890380859375
2024-10-14,3629.62109375
2024-10-15,3618.114013671875
2024-10-16,3614.10498046875
2024-10-17,3629.126953125
2024-10-18,3593.4130859375
2024-10-19,3593.4130859375
2024-10-20,3593.4130859375
2024-10-21,3593.21630859375
2024-10-22,3613.47265625
2024-10-23,3601.61767578125
2024-10-24,3598.62158203125
2024-10-25,3594.45458984375
2024-10-26,3594.45458984375
2024-10-27,3594.45458984375
2024-10-28,3618.43310546875
2024-10-29,3610.869140625
2024-10-30,3604.938232421875
2024-10-31,3584.429443359375
2024-11-01,3593.596435546875
2024-11-02,3593.596435546875
2024-11-03,3593.596435546875
2024-11-04,3618.134033203125
2024-11-05,3611.206298828125
2024-11-06,3609.447021484375
2024-11-07,3593.8203125
2024-11-08,3539.931640625
2024-11-09,3539.931640625
2024-11-10,3539.931640625
2024-11-11,3569.423828125
2024-11-12,3571.9951171875
2024-11-13,3558.462890625
2024-11-14,3558.769287109375
2024-11-15,3554.556640625
2024-11-16,3554.556640625
2024-11-17,3554.556640625
2024-11-18,3555.083251953125
2024-11-19,3529.880859375
2024-11-20,3538.89697265625
2024-11-21,3558.760986328125
2024-11-22,3542.418701171875
2024-11-23,3542.418701171875
2024-11-24,3542.418701171875
2024-11-25,3564.68212890625
2024-11-26,3562.0966796875
2024-11-27,3573.752197265625
2024-11-28,3573.78369140625
2024-11-29,3572.103515625
2024-11-30,3572.103515625
2024-12-01,3572.103515625
2024-12-02,3560.85498046875
2024-12-03,3567.2646484375
2024-12-04,3565.99560546875
2024-12-05,3572.509765625
2024-12-06,3577.594482421875
2024-12-07,3577.594482421875
2024-12-08,3577.594482421875
2024-12-09,3580.90283203125
2024-12-10,3585.489990234375
2024-12-11,3592.592529296875
2024-12-12,3597.202880859375
2024-12-13,3598.287353515625
2024-12-14,3598.287353515625
2024-12-15,3598.287353515625
2024-12-16,3600.0
2024-12-17,3583.380126953125
2024-12-18,3565.7001953125
2024-12-19,3601.8515625
2024-12-20,3547.064697265625
2024-12-21,3547.064697265625
2024-12-22,3547.064697265625
2024-12-23,3587.6220703125
2024-12-24,3611.937744140625
2024-12-25,3567.260986328125
2024-12-26,3567.260986328125
2024-12-27,3622.5107421875
2024-12-28,3622.5107421875
2024-12-29,3622.5107421875
2024-12-30,3618.025390625
2024-12-31,3602.597900390625
2025-01-01,3602.597900390625
2025-01-02,3628.954833984375
2025-01-03,3626.147216796875
2025-01-04,3626.147216796875
2025-01-05,3626.147216796875
2025-01-06,3597.111083984375
2025-01-07,3585.396240234375
2025-01-08,3600.6015625
2025-01-09,3595.2470703125
2025-01-10,3605.818359375
2025-01-11,3605.818359375
2025-01-12,3605.818359375
2025-01-13,3623.262451171875
2025-01-14,3613.12646484375
2025-01-15,3622.6416015625
2025-01-16,3636.54150390625
2025-01-17,3635.491455078125
2025-01-18,3635.491455078125
2025-01-19,3635.491455078125
2025-01-20,3634.04345703125
2025-01-21,3615.624267578125
2025-01-22,3649.3408203125
2025-01-23,3659.7451171875
2025-01-24,3642.394287109375
